"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"324","AL","Monroe",16.3,46.1,23.5,14.1,47,123
"325","AL","Monroe",16.3,46.1,23.5,14.1,54,63
"326","AL","Monroe",16.3,46.1,23.5,14.1,55,81
"327","AL","Montgomery",14.4,25.5,28,32.1,1,101
"328","AL","Montgomery",14.4,25.5,28,32.1,5,97
"329","AL","Montgomery",14.4,25.5,28,32.1,13,209
"330","AL","Montgomery",14.4,25.5,28,32.1,17,135
"331","AL","Montgomery",14.4,25.5,28,32.1,18,107
"332","AL","Montgomery",14.4,25.5,28,32.1,19,137
"333","AL","Montgomery",14.4,25.5,28,32.1,20,125
"334","AL","Montgomery",14.4,25.5,28,32.1,21,173
"335","AL","Montgomery",14.4,25.5,28,32.1,24,31
"336","AL","Montgomery",14.4,25.5,28,32.1,28,97
"337","AL","Montgomery",14.4,25.5,28,32.1,29,139
"338","AL","Montgomery",14.4,25.5,28,32.1,36,57
"339","AL","Montgomery",14.4,25.5,28,32.1,37,123
"340","AL","Montgomery",14.4,25.5,28,32.1,39,113
"341","AL","Montgomery",14.4,25.5,28,32.1,42,91
"342","AL","Montgomery",14.4,25.5,28,32.1,47,125
"343","AL","Montgomery",14.4,25.5,28,32.1,48,339
"344","AL","Montgomery",14.4,25.5,28,32.1,51,121
"345","AL","Morgan",16.7,29.6,32,21.7,1,103
"346","AL","Morgan",16.7,29.6,32,21.7,8,87
"347","AL","Morgan",16.7,29.6,32,21.7,13,211
"348","AL","Morgan",16.7,29.6,32,21.7,17,137
"349","AL","Morgan",16.7,29.6,32,21.7,18,109
"350","AL","Morgan",16.7,29.6,32,21.7,21,175
"351","AL","Morgan",16.7,29.6,32,21.7,29,141
"352","AL","Morgan",16.7,29.6,32,21.7,39,115
