"","county","State","estimate_percent_distribution_family_income_by_number_of_earners_no_earners","margin_of_error_percent_distribution_moe_family_income_by_number_of_earners_no_earners","estimate_median_income_dollars_family_income_by_number_of_earners_no_earners","margin_of_error_median_income_dollars_moe_family_income_by_number_of_earners_no_earners","state_fips_code","county_fips_code"
"13869","Douglas"," Washington",16,1.8,"48389","4979",46,43
"13870","Douglas"," Washington",16,1.8,"48389","4979",53,17
"13871","Douglas"," Washington",16,1.8,"48389","4979",55,31
"13872","Ferry"," Washington",32.8,4.7,"40208","5451",53,19
"13873","Franklin"," Washington",9.6,1.4,"40273","10088",1,59
"13874","Franklin"," Washington",9.6,1.4,"40273","10088",5,47
"13875","Franklin"," Washington",9.6,1.4,"40273","10088",12,37
"13876","Franklin"," Washington",9.6,1.4,"40273","10088",13,119
"13877","Franklin"," Washington",9.6,1.4,"40273","10088",16,41
"13878","Franklin"," Washington",9.6,1.4,"40273","10088",17,55
"13879","Franklin"," Washington",9.6,1.4,"40273","10088",18,47
"13880","Franklin"," Washington",9.6,1.4,"40273","10088",19,69
"13881","Franklin"," Washington",9.6,1.4,"40273","10088",20,59
"13882","Franklin"," Washington",9.6,1.4,"40273","10088",21,73
"13883","Franklin"," Washington",9.6,1.4,"40273","10088",22,41
"13884","Franklin"," Washington",9.6,1.4,"40273","10088",23,7
"13885","Franklin"," Washington",9.6,1.4,"40273","10088",25,11
"13886","Franklin"," Washington",9.6,1.4,"40273","10088",28,37
"13887","Franklin"," Washington",9.6,1.4,"40273","10088",29,71
"13888","Franklin"," Washington",9.6,1.4,"40273","10088",31,61
"13889","Franklin"," Washington",9.6,1.4,"40273","10088",36,33
"13890","Franklin"," Washington",9.6,1.4,"40273","10088",37,69
"13891","Franklin"," Washington",9.6,1.4,"40273","10088",39,49
"13892","Franklin"," Washington",9.6,1.4,"40273","10088",42,55
"13893","Franklin"," Washington",9.6,1.4,"40273","10088",47,51
"13894","Franklin"," Washington",9.6,1.4,"40273","10088",48,159
"13895","Franklin"," Washington",9.6,1.4,"40273","10088",50,11
"13896","Franklin"," Washington",9.6,1.4,"40273","10088",51,67
"13897","Franklin"," Washington",9.6,1.4,"40273","10088",51,620
"13898","Franklin"," Washington",9.6,1.4,"40273","10088",53,21
"13899","Garfield"," Washington",22.9,5.8,"43333","9304",8,45
"13900","Garfield"," Washington",22.9,5.8,"43333","9304",30,33
"13901","Garfield"," Washington",22.9,5.8,"43333","9304",31,71
"13902","Garfield"," Washington",22.9,5.8,"43333","9304",40,47
"13903","Garfield"," Washington",22.9,5.8,"43333","9304",49,17
"13904","Garfield"," Washington",22.9,5.8,"43333","9304",53,23
"13905","Grant"," Washington",14.5,1.2,"35887","2663",5,53
"13906","Grant"," Washington",14.5,1.2,"35887","2663",18,53
"13907","Grant"," Washington",14.5,1.2,"35887","2663",20,67
"13908","Grant"," Washington",14.5,1.2,"35887","2663",21,81
"13909","Grant"," Washington",14.5,1.2,"35887","2663",22,43
"13910","Grant"," Washington",14.5,1.2,"35887","2663",27,51
"13911","Grant"," Washington",14.5,1.2,"35887","2663",31,75
"13912","Grant"," Washington",14.5,1.2,"35887","2663",35,17
"13913","Grant"," Washington",14.5,1.2,"35887","2663",38,37
"13914","Grant"," Washington",14.5,1.2,"35887","2663",40,53
"13915","Grant"," Washington",14.5,1.2,"35887","2663",41,23
"13916","Grant"," Washington",14.5,1.2,"35887","2663",46,51
"13917","Grant"," Washington",14.5,1.2,"35887","2663",53,25
"13918","Grant"," Washington",14.5,1.2,"35887","2663",54,23
"13919","Grant"," Washington",14.5,1.2,"35887","2663",55,43
"13920","Grays Harbor"," Washington",23.5,1.8,"39169","2546",NA,NA
"13921","Island"," Washington",23.1,1.2,"59362","3473",53,29
"13922","Jefferson"," Washington",35.7,3.2,"55519","5145",1,73
"13923","Jefferson"," Washington",35.7,3.2,"55519","5145",5,69
"13924","Jefferson"," Washington",35.7,3.2,"55519","5145",8,59
"13925","Jefferson"," Washington",35.7,3.2,"55519","5145",12,65
"13926","Jefferson"," Washington",35.7,3.2,"55519","5145",13,163
"13927","Jefferson"," Washington",35.7,3.2,"55519","5145",16,51
"13928","Jefferson"," Washington",35.7,3.2,"55519","5145",17,81
"13929","Jefferson"," Washington",35.7,3.2,"55519","5145",18,77
"13930","Jefferson"," Washington",35.7,3.2,"55519","5145",19,101
"13931","Jefferson"," Washington",35.7,3.2,"55519","5145",20,87
"13932","Jefferson"," Washington",35.7,3.2,"55519","5145",21,111
"13933","Jefferson"," Washington",35.7,3.2,"55519","5145",22,51
"13934","Jefferson"," Washington",35.7,3.2,"55519","5145",22,53
"13935","Jefferson"," Washington",35.7,3.2,"55519","5145",28,63
"13936","Jefferson"," Washington",35.7,3.2,"55519","5145",28,65
"13937","Jefferson"," Washington",35.7,3.2,"55519","5145",29,99
"13938","Jefferson"," Washington",35.7,3.2,"55519","5145",30,43
"13939","Jefferson"," Washington",35.7,3.2,"55519","5145",31,95
"13940","Jefferson"," Washington",35.7,3.2,"55519","5145",36,45
"13941","Jefferson"," Washington",35.7,3.2,"55519","5145",39,81
"13942","Jefferson"," Washington",35.7,3.2,"55519","5145",40,67
"13943","Jefferson"," Washington",35.7,3.2,"55519","5145",41,31
"13944","Jefferson"," Washington",35.7,3.2,"55519","5145",42,65
"13945","Jefferson"," Washington",35.7,3.2,"55519","5145",47,89
"13946","Jefferson"," Washington",35.7,3.2,"55519","5145",48,245
"13947","Jefferson"," Washington",35.7,3.2,"55519","5145",53,31
"13948","Jefferson"," Washington",35.7,3.2,"55519","5145",54,37
"13949","Jefferson"," Washington",35.7,3.2,"55519","5145",55,55
"13950","King"," Washington",10.1,0.3,"52809","1429",48,269
"13951","King"," Washington",10.1,0.3,"52809","1429",51,97
"13952","King"," Washington",10.1,0.3,"52809","1429",51,99
"13953","King"," Washington",10.1,0.3,"52809","1429",51,101
"13954","King"," Washington",10.1,0.3,"52809","1429",53,33
"13955","Kitsap"," Washington",17.4,0.8,"58561","3202",53,35
"13956","Kittitas"," Washington",16.2,2.1,"49921","8304",53,37
"13957","Klickitat"," Washington",25.2,3.1,"42692","11309",53,39
"13958","Lewis"," Washington",23,1.6,"39478","1966",16,61
"13959","Lewis"," Washington",23,1.6,"39478","1966",21,135
"13960","Lewis"," Washington",23,1.6,"39478","1966",29,111
"13961","Lewis"," Washington",23,1.6,"39478","1966",30,49
"13962","Lewis"," Washington",23,1.6,"39478","1966",36,49
"13963","Lewis"," Washington",23,1.6,"39478","1966",47,101
"13964","Lewis"," Washington",23,1.6,"39478","1966",53,41
"13965","Lewis"," Washington",23,1.6,"39478","1966",54,41
"13966","Lincoln"," Washington",25.5,3,"36989","3487",5,79
"13967","Lincoln"," Washington",25.5,3,"36989","3487",8,73
"13968","Lincoln"," Washington",25.5,3,"36989","3487",13,181
"13969","Lincoln"," Washington",25.5,3,"36989","3487",16,63
"13970","Lincoln"," Washington",25.5,3,"36989","3487",20,105
"13971","Lincoln"," Washington",25.5,3,"36989","3487",21,137
"13972","Lincoln"," Washington",25.5,3,"36989","3487",22,61
"13973","Lincoln"," Washington",25.5,3,"36989","3487",23,15
"13974","Lincoln"," Washington",25.5,3,"36989","3487",27,81
"13975","Lincoln"," Washington",25.5,3,"36989","3487",28,85
"13976","Lincoln"," Washington",25.5,3,"36989","3487",29,113
"13977","Lincoln"," Washington",25.5,3,"36989","3487",30,53
"13978","Lincoln"," Washington",25.5,3,"36989","3487",31,111
"13979","Lincoln"," Washington",25.5,3,"36989","3487",32,17
"13980","Lincoln"," Washington",25.5,3,"36989","3487",35,27
"13981","Lincoln"," Washington",25.5,3,"36989","3487",37,109
"13982","Lincoln"," Washington",25.5,3,"36989","3487",40,81
"13983","Lincoln"," Washington",25.5,3,"36989","3487",41,41
"13984","Lincoln"," Washington",25.5,3,"36989","3487",46,83
"13985","Lincoln"," Washington",25.5,3,"36989","3487",47,103
"13986","Lincoln"," Washington",25.5,3,"36989","3487",53,43
"13987","Lincoln"," Washington",25.5,3,"36989","3487",54,43
"13988","Lincoln"," Washington",25.5,3,"36989","3487",55,69
"13989","Lincoln"," Washington",25.5,3,"36989","3487",56,23
"13990","Mason"," Washington",28.1,2.2,"49114","4113",17,125
"13991","Mason"," Washington",28.1,2.2,"49114","4113",21,161
"13992","Mason"," Washington",28.1,2.2,"49114","4113",26,105
"13993","Mason"," Washington",28.1,2.2,"49114","4113",48,319
"13994","Mason"," Washington",28.1,2.2,"49114","4113",53,45
"13995","Mason"," Washington",28.1,2.2,"49114","4113",54,53
"13996","Okanogan"," Washington",21.4,2.2,"43424","6456",53,47
"13997","Pacific"," Washington",33.1,3.3,"39634","6123",53,49
"13998","Pend Oreille"," Washington",28.4,3.3,"40156","10324",NA,NA
"13999","Pierce"," Washington",13.5,0.4,"46844","1635",13,229
"14000","Pierce"," Washington",13.5,0.4,"46844","1635",31,139
"14001","Pierce"," Washington",13.5,0.4,"46844","1635",38,69
"14002","Pierce"," Washington",13.5,0.4,"46844","1635",53,53
"14003","Pierce"," Washington",13.5,0.4,"46844","1635",55,93
"14004","San Juan"," Washington",27.9,1.7,"65234","4509",NA,NA
"14005","Skagit"," Washington",19.1,1,"51598","3020",53,57
"14006","Skamania"," Washington",24.2,2.7,"39770","3642",53,59
"14007","Snohomish"," Washington",11.2,0.4,"45357","2754",53,61
"14008","Spokane"," Washington",15.1,0.5,"43265","2293",53,63
"14009","Stevens"," Washington",27,1.9,"38701","1828",20,189
"14010","Stevens"," Washington",27,1.9,"38701","1828",27,149
"14011","Stevens"," Washington",27,1.9,"38701","1828",53,65
"14012","Thurston"," Washington",16.1,0.8,"56042","3174",31,173
"14013","Thurston"," Washington",16.1,0.8,"56042","3174",53,67
"14014","Wahkiakum"," Washington",31,6.5,"40781","5250",53,69
"14015","Walla Walla"," Washington",17.2,1.6,"45960","6910",NA,NA
"14016","Whatcom"," Washington",17.5,1.1,"50786","3103",53,73
"14017","Whitman"," Washington",14,1.7,"38762","1974",53,75
"14018","Yakima"," Washington",14.4,0.9,"36394","2517",53,77
"14019","Barbour"," West Virginia",25.3,4.2,"23958","5910",1,5
"14020","Barbour"," West Virginia",25.3,4.2,"23958","5910",54,1
"14021","Berkeley"," West Virginia",14.1,1.6,"39375","5586",45,15
"14022","Berkeley"," West Virginia",14.1,1.6,"39375","5586",54,3
"14023","Boone"," West Virginia",38.1,3.1,"24208","3305",5,9
"14024","Boone"," West Virginia",38.1,3.1,"24208","3305",17,7
"14025","Boone"," West Virginia",38.1,3.1,"24208","3305",18,11
"14026","Boone"," West Virginia",38.1,3.1,"24208","3305",19,15
"14027","Boone"," West Virginia",38.1,3.1,"24208","3305",21,15
"14028","Boone"," West Virginia",38.1,3.1,"24208","3305",29,19
"14029","Boone"," West Virginia",38.1,3.1,"24208","3305",31,11
"14030","Boone"," West Virginia",38.1,3.1,"24208","3305",54,5
"14031","Braxton"," West Virginia",24,4,"21762","7273",54,7
"14032","Brooke"," West Virginia",21.6,2.5,"43956","3240",54,9
"14033","Cabell"," West Virginia",24.2,1.9,"31802","2920",54,11
"14034","Calhoun"," West Virginia",30.4,5.6,"27875","7204",1,15
"14035","Calhoun"," West Virginia",30.4,5.6,"27875","7204",5,13
"14036","Calhoun"," West Virginia",30.4,5.6,"27875","7204",12,13
"14037","Calhoun"," West Virginia",30.4,5.6,"27875","7204",13,37
"14038","Calhoun"," West Virginia",30.4,5.6,"27875","7204",17,13
"14039","Calhoun"," West Virginia",30.4,5.6,"27875","7204",19,25
"14040","Calhoun"," West Virginia",30.4,5.6,"27875","7204",26,25
"14041","Calhoun"," West Virginia",30.4,5.6,"27875","7204",28,13
"14042","Calhoun"," West Virginia",30.4,5.6,"27875","7204",45,17
"14043","Calhoun"," West Virginia",30.4,5.6,"27875","7204",48,57
"14044","Calhoun"," West Virginia",30.4,5.6,"27875","7204",54,13
"14045","Clay"," West Virginia",35.2,6,"27292","6612",1,27
"14046","Clay"," West Virginia",35.2,6,"27292","6612",5,21
"14047","Clay"," West Virginia",35.2,6,"27292","6612",12,19
"14048","Clay"," West Virginia",35.2,6,"27292","6612",13,61
"14049","Clay"," West Virginia",35.2,6,"27292","6612",17,25
"14050","Clay"," West Virginia",35.2,6,"27292","6612",18,21
"14051","Clay"," West Virginia",35.2,6,"27292","6612",19,41
"14052","Clay"," West Virginia",35.2,6,"27292","6612",20,27
"14053","Clay"," West Virginia",35.2,6,"27292","6612",21,51
"14054","Clay"," West Virginia",35.2,6,"27292","6612",27,27
"14055","Clay"," West Virginia",35.2,6,"27292","6612",28,25
"14056","Clay"," West Virginia",35.2,6,"27292","6612",29,47
"14057","Clay"," West Virginia",35.2,6,"27292","6612",31,35
"14058","Clay"," West Virginia",35.2,6,"27292","6612",37,43
"14059","Clay"," West Virginia",35.2,6,"27292","6612",46,27
"14060","Clay"," West Virginia",35.2,6,"27292","6612",47,27
"14061","Clay"," West Virginia",35.2,6,"27292","6612",48,77
"14062","Clay"," West Virginia",35.2,6,"27292","6612",54,15
"14063","Doddridge"," West Virginia",29,6.1,"38578","5261",54,17
"14064","Fayette"," West Virginia",26.1,2.7,"28254","4512",1,57
"14065","Fayette"," West Virginia",26.1,2.7,"28254","4512",13,113
"14066","Fayette"," West Virginia",26.1,2.7,"28254","4512",17,51
"14067","Fayette"," West Virginia",26.1,2.7,"28254","4512",18,41
"14068","Fayette"," West Virginia",26.1,2.7,"28254","4512",19,65
"14069","Fayette"," West Virginia",26.1,2.7,"28254","4512",21,67
"14070","Fayette"," West Virginia",26.1,2.7,"28254","4512",39,47
"14071","Fayette"," West Virginia",26.1,2.7,"28254","4512",42,51
"14072","Fayette"," West Virginia",26.1,2.7,"28254","4512",47,47
"14073","Fayette"," West Virginia",26.1,2.7,"28254","4512",48,149
"14074","Fayette"," West Virginia",26.1,2.7,"28254","4512",54,19
"14075","Gilmer"," West Virginia",26.7,4.7,"29420","9398",13,123
"14076","Gilmer"," West Virginia",26.7,4.7,"29420","9398",54,21
"14077","Grant"," West Virginia",22.9,4.2,"27773","6909",5,53
"14078","Grant"," West Virginia",22.9,4.2,"27773","6909",18,53
"14079","Grant"," West Virginia",22.9,4.2,"27773","6909",20,67
"14080","Grant"," West Virginia",22.9,4.2,"27773","6909",21,81
"14081","Grant"," West Virginia",22.9,4.2,"27773","6909",22,43
"14082","Grant"," West Virginia",22.9,4.2,"27773","6909",27,51
"14083","Grant"," West Virginia",22.9,4.2,"27773","6909",31,75
"14084","Grant"," West Virginia",22.9,4.2,"27773","6909",35,17
"14085","Grant"," West Virginia",22.9,4.2,"27773","6909",38,37
"14086","Grant"," West Virginia",22.9,4.2,"27773","6909",40,53
"14087","Grant"," West Virginia",22.9,4.2,"27773","6909",41,23
"14088","Grant"," West Virginia",22.9,4.2,"27773","6909",46,51
"14089","Grant"," West Virginia",22.9,4.2,"27773","6909",53,25
"14090","Grant"," West Virginia",22.9,4.2,"27773","6909",54,23
"14091","Grant"," West Virginia",22.9,4.2,"27773","6909",55,43
"14092","Greenbrier"," West Virginia",23.4,2.5,"31832","3770",54,25
"14093","Hampshire"," West Virginia",26.8,3.3,"30394","3708",25,15
"14094","Hampshire"," West Virginia",26.8,3.3,"30394","3708",54,27
"14095","Hancock"," West Virginia",18.5,2.6,"38659","3546",13,141
"14096","Hancock"," West Virginia",18.5,2.6,"38659","3546",17,67
"14097","Hancock"," West Virginia",18.5,2.6,"38659","3546",18,59
"14098","Hancock"," West Virginia",18.5,2.6,"38659","3546",19,81
"14099","Hancock"," West Virginia",18.5,2.6,"38659","3546",21,91
"14100","Hancock"," West Virginia",18.5,2.6,"38659","3546",23,9
"14101","Hancock"," West Virginia",18.5,2.6,"38659","3546",28,45
"14102","Hancock"," West Virginia",18.5,2.6,"38659","3546",39,63
"14103","Hancock"," West Virginia",18.5,2.6,"38659","3546",47,67
"14104","Hancock"," West Virginia",18.5,2.6,"38659","3546",54,29
"14105","Hardy"," West Virginia",18.2,3.3,"39427","6889",54,31
"14106","Harrison"," West Virginia",19.7,1.5,"33833","3243",18,61
"14107","Harrison"," West Virginia",19.7,1.5,"33833","3243",19,85
"14108","Harrison"," West Virginia",19.7,1.5,"33833","3243",21,97
"14109","Harrison"," West Virginia",19.7,1.5,"33833","3243",28,47
"14110","Harrison"," West Virginia",19.7,1.5,"33833","3243",29,81
"14111","Harrison"," West Virginia",19.7,1.5,"33833","3243",39,67
"14112","Harrison"," West Virginia",19.7,1.5,"33833","3243",48,203
"14113","Harrison"," West Virginia",19.7,1.5,"33833","3243",54,33
"14114","Jackson"," West Virginia",25.2,2.3,"37138","2967",1,71
"14115","Jackson"," West Virginia",25.2,2.3,"37138","2967",5,67
"14116","Jackson"," West Virginia",25.2,2.3,"37138","2967",8,57
"14117","Jackson"," West Virginia",25.2,2.3,"37138","2967",12,63
"14118","Jackson"," West Virginia",25.2,2.3,"37138","2967",13,157
"14119","Jackson"," West Virginia",25.2,2.3,"37138","2967",17,77
"14120","Jackson"," West Virginia",25.2,2.3,"37138","2967",18,71
"14121","Jackson"," West Virginia",25.2,2.3,"37138","2967",19,97
"14122","Jackson"," West Virginia",25.2,2.3,"37138","2967",20,85
"14123","Jackson"," West Virginia",25.2,2.3,"37138","2967",21,109
"14124","Jackson"," West Virginia",25.2,2.3,"37138","2967",22,49
"14125","Jackson"," West Virginia",25.2,2.3,"37138","2967",26,75
"14126","Jackson"," West Virginia",25.2,2.3,"37138","2967",27,63
"14127","Jackson"," West Virginia",25.2,2.3,"37138","2967",28,59
"14128","Jackson"," West Virginia",25.2,2.3,"37138","2967",29,95
"14129","Jackson"," West Virginia",25.2,2.3,"37138","2967",37,99
"14130","Jackson"," West Virginia",25.2,2.3,"37138","2967",39,79
"14131","Jackson"," West Virginia",25.2,2.3,"37138","2967",40,65
"14132","Jackson"," West Virginia",25.2,2.3,"37138","2967",41,29
"14133","Jackson"," West Virginia",25.2,2.3,"37138","2967",46,71
"14134","Jackson"," West Virginia",25.2,2.3,"37138","2967",47,87
"14135","Jackson"," West Virginia",25.2,2.3,"37138","2967",48,239
"14136","Jackson"," West Virginia",25.2,2.3,"37138","2967",54,35
"14137","Jackson"," West Virginia",25.2,2.3,"37138","2967",55,53
"14138","Jefferson"," West Virginia",14.6,1.6,"45497","4672",1,73
"14139","Jefferson"," West Virginia",14.6,1.6,"45497","4672",5,69
"14140","Jefferson"," West Virginia",14.6,1.6,"45497","4672",8,59
"14141","Jefferson"," West Virginia",14.6,1.6,"45497","4672",12,65
"14142","Jefferson"," West Virginia",14.6,1.6,"45497","4672",13,163
"14143","Jefferson"," West Virginia",14.6,1.6,"45497","4672",16,51
"14144","Jefferson"," West Virginia",14.6,1.6,"45497","4672",17,81
"14145","Jefferson"," West Virginia",14.6,1.6,"45497","4672",18,77
"14146","Jefferson"," West Virginia",14.6,1.6,"45497","4672",19,101
"14147","Jefferson"," West Virginia",14.6,1.6,"45497","4672",20,87
"14148","Jefferson"," West Virginia",14.6,1.6,"45497","4672",21,111
"14149","Jefferson"," West Virginia",14.6,1.6,"45497","4672",22,51
"14150","Jefferson"," West Virginia",14.6,1.6,"45497","4672",22,53
"14151","Jefferson"," West Virginia",14.6,1.6,"45497","4672",28,63
"14152","Jefferson"," West Virginia",14.6,1.6,"45497","4672",28,65
"14153","Jefferson"," West Virginia",14.6,1.6,"45497","4672",29,99
"14154","Jefferson"," West Virginia",14.6,1.6,"45497","4672",30,43
"14155","Jefferson"," West Virginia",14.6,1.6,"45497","4672",31,95
"14156","Jefferson"," West Virginia",14.6,1.6,"45497","4672",36,45
"14157","Jefferson"," West Virginia",14.6,1.6,"45497","4672",39,81
"14158","Jefferson"," West Virginia",14.6,1.6,"45497","4672",40,67
"14159","Jefferson"," West Virginia",14.6,1.6,"45497","4672",41,31
"14160","Jefferson"," West Virginia",14.6,1.6,"45497","4672",42,65
"14161","Jefferson"," West Virginia",14.6,1.6,"45497","4672",47,89
"14162","Jefferson"," West Virginia",14.6,1.6,"45497","4672",48,245
"14163","Jefferson"," West Virginia",14.6,1.6,"45497","4672",53,31
"14164","Jefferson"," West Virginia",14.6,1.6,"45497","4672",54,37
"14165","Jefferson"," West Virginia",14.6,1.6,"45497","4672",55,55
"14166","Kanawha"," West Virginia",22,1.2,"33316","2669",54,39
"14167","Lewis"," West Virginia",26.6,3,"27075","3824",16,61
"14168","Lewis"," West Virginia",26.6,3,"27075","3824",21,135
"14169","Lewis"," West Virginia",26.6,3,"27075","3824",29,111
"14170","Lewis"," West Virginia",26.6,3,"27075","3824",30,49
"14171","Lewis"," West Virginia",26.6,3,"27075","3824",36,49
"14172","Lewis"," West Virginia",26.6,3,"27075","3824",47,101
"14173","Lewis"," West Virginia",26.6,3,"27075","3824",53,41
"14174","Lewis"," West Virginia",26.6,3,"27075","3824",54,41
"14175","Lincoln"," West Virginia",31.7,4,"26141","3480",5,79
"14176","Lincoln"," West Virginia",31.7,4,"26141","3480",8,73
"14177","Lincoln"," West Virginia",31.7,4,"26141","3480",13,181
"14178","Lincoln"," West Virginia",31.7,4,"26141","3480",16,63
"14179","Lincoln"," West Virginia",31.7,4,"26141","3480",20,105
"14180","Lincoln"," West Virginia",31.7,4,"26141","3480",21,137
"14181","Lincoln"," West Virginia",31.7,4,"26141","3480",22,61
"14182","Lincoln"," West Virginia",31.7,4,"26141","3480",23,15
"14183","Lincoln"," West Virginia",31.7,4,"26141","3480",27,81
"14184","Lincoln"," West Virginia",31.7,4,"26141","3480",28,85
"14185","Lincoln"," West Virginia",31.7,4,"26141","3480",29,113
"14186","Lincoln"," West Virginia",31.7,4,"26141","3480",30,53
"14187","Lincoln"," West Virginia",31.7,4,"26141","3480",31,111
"14188","Lincoln"," West Virginia",31.7,4,"26141","3480",32,17
"14189","Lincoln"," West Virginia",31.7,4,"26141","3480",35,27
"14190","Lincoln"," West Virginia",31.7,4,"26141","3480",37,109
"14191","Lincoln"," West Virginia",31.7,4,"26141","3480",40,81
"14192","Lincoln"," West Virginia",31.7,4,"26141","3480",41,41
"14193","Lincoln"," West Virginia",31.7,4,"26141","3480",46,83
"14194","Lincoln"," West Virginia",31.7,4,"26141","3480",47,103
"14195","Lincoln"," West Virginia",31.7,4,"26141","3480",53,43
"14196","Lincoln"," West Virginia",31.7,4,"26141","3480",54,43
"14197","Lincoln"," West Virginia",31.7,4,"26141","3480",55,69
"14198","Lincoln"," West Virginia",31.7,4,"26141","3480",56,23
"14199","Logan"," West Virginia",34.2,2.9,"26391","4314",5,83
"14200","Logan"," West Virginia",34.2,2.9,"26391","4314",8,75
"14201","Logan"," West Virginia",34.2,2.9,"26391","4314",17,107
"14202","Logan"," West Virginia",34.2,2.9,"26391","4314",20,109
"14203","Logan"," West Virginia",34.2,2.9,"26391","4314",21,141
"14204","Logan"," West Virginia",34.2,2.9,"26391","4314",31,113
"14205","Logan"," West Virginia",34.2,2.9,"26391","4314",38,47
"14206","Logan"," West Virginia",34.2,2.9,"26391","4314",39,91
"14207","Logan"," West Virginia",34.2,2.9,"26391","4314",40,83
"14208","Logan"," West Virginia",34.2,2.9,"26391","4314",54,45
"14209","McDowell"," West Virginia",50.3,3.9,"21780","3524",37,111
"14210","McDowell"," West Virginia",50.3,3.9,"21780","3524",54,47
"14211","Marion"," West Virginia",21.9,1.8,"31381","4107",1,93
"14212","Marion"," West Virginia",21.9,1.8,"31381","4107",5,89
"14213","Marion"," West Virginia",21.9,1.8,"31381","4107",12,83
"14214","Marion"," West Virginia",21.9,1.8,"31381","4107",13,197
"14215","Marion"," West Virginia",21.9,1.8,"31381","4107",17,121
"14216","Marion"," West Virginia",21.9,1.8,"31381","4107",18,97
"14217","Marion"," West Virginia",21.9,1.8,"31381","4107",19,125
"14218","Marion"," West Virginia",21.9,1.8,"31381","4107",20,115
"14219","Marion"," West Virginia",21.9,1.8,"31381","4107",21,155
"14220","Marion"," West Virginia",21.9,1.8,"31381","4107",28,91
"14221","Marion"," West Virginia",21.9,1.8,"31381","4107",29,127
"14222","Marion"," West Virginia",21.9,1.8,"31381","4107",39,101
"14223","Marion"," West Virginia",21.9,1.8,"31381","4107",41,47
"14224","Marion"," West Virginia",21.9,1.8,"31381","4107",45,67
"14225","Marion"," West Virginia",21.9,1.8,"31381","4107",47,115
"14226","Marion"," West Virginia",21.9,1.8,"31381","4107",48,315
"14227","Marion"," West Virginia",21.9,1.8,"31381","4107",54,49
"14228","Marshall"," West Virginia",27.7,3.3,"31000","5979",1,95
"14229","Marshall"," West Virginia",27.7,3.3,"31000","5979",17,123
"14230","Marshall"," West Virginia",27.7,3.3,"31000","5979",18,99
"14231","Marshall"," West Virginia",27.7,3.3,"31000","5979",19,127
"14232","Marshall"," West Virginia",27.7,3.3,"31000","5979",20,117
"14233","Marshall"," West Virginia",27.7,3.3,"31000","5979",21,157
"14234","Marshall"," West Virginia",27.7,3.3,"31000","5979",27,89
"14235","Marshall"," West Virginia",27.7,3.3,"31000","5979",28,93
"14236","Marshall"," West Virginia",27.7,3.3,"31000","5979",40,95
"14237","Marshall"," West Virginia",27.7,3.3,"31000","5979",46,91
"14238","Marshall"," West Virginia",27.7,3.3,"31000","5979",47,117
"14239","Marshall"," West Virginia",27.7,3.3,"31000","5979",54,51
"14240","Mason"," West Virginia",29.2,4.1,"26893","3520",17,125
"14241","Mason"," West Virginia",29.2,4.1,"26893","3520",21,161
"14242","Mason"," West Virginia",29.2,4.1,"26893","3520",26,105
"14243","Mason"," West Virginia",29.2,4.1,"26893","3520",48,319
"14244","Mason"," West Virginia",29.2,4.1,"26893","3520",53,45
"14245","Mason"," West Virginia",29.2,4.1,"26893","3520",54,53
"14246","Mercer"," West Virginia",28.2,2.4,"32818","3921",17,131
"14247","Mercer"," West Virginia",28.2,2.4,"32818","3921",21,167
"14248","Mercer"," West Virginia",28.2,2.4,"32818","3921",29,129
"14249","Mercer"," West Virginia",28.2,2.4,"32818","3921",34,21
"14250","Mercer"," West Virginia",28.2,2.4,"32818","3921",38,57
"14251","Mercer"," West Virginia",28.2,2.4,"32818","3921",39,107
"14252","Mercer"," West Virginia",28.2,2.4,"32818","3921",42,85
"14253","Mercer"," West Virginia",28.2,2.4,"32818","3921",54,55
"14254","Mineral"," West Virginia",24.5,3.1,"32500","5793",8,79
"14255","Mineral"," West Virginia",24.5,3.1,"32500","5793",30,61
"14256","Mineral"," West Virginia",24.5,3.1,"32500","5793",32,21
"14257","Mineral"," West Virginia",24.5,3.1,"32500","5793",54,57
"14258","Mingo"," West Virginia",34.3,3.4,"24688","3335",54,59
"14259","Monongalia"," West Virginia",16.4,1.5,"37679","6601",54,61
"14260","Monroe"," West Virginia",29.4,4.1,"28409","6556",1,99
"14261","Monroe"," West Virginia",29.4,4.1,"28409","6556",5,95
"14262","Monroe"," West Virginia",29.4,4.1,"28409","6556",12,87
"14263","Monroe"," West Virginia",29.4,4.1,"28409","6556",13,207
"14264","Monroe"," West Virginia",29.4,4.1,"28409","6556",17,133
"14265","Monroe"," West Virginia",29.4,4.1,"28409","6556",18,105
"14266","Monroe"," West Virginia",29.4,4.1,"28409","6556",19,135
"14267","Monroe"," West Virginia",29.4,4.1,"28409","6556",21,171
"14268","Monroe"," West Virginia",29.4,4.1,"28409","6556",26,115
"14269","Monroe"," West Virginia",29.4,4.1,"28409","6556",28,95
"14270","Monroe"," West Virginia",29.4,4.1,"28409","6556",29,137
"14271","Monroe"," West Virginia",29.4,4.1,"28409","6556",36,55
"14272","Monroe"," West Virginia",29.4,4.1,"28409","6556",39,111
"14273","Monroe"," West Virginia",29.4,4.1,"28409","6556",42,89
"14274","Monroe"," West Virginia",29.4,4.1,"28409","6556",47,123
"14275","Monroe"," West Virginia",29.4,4.1,"28409","6556",54,63
"14276","Monroe"," West Virginia",29.4,4.1,"28409","6556",55,81
