"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"617","IL","Adams County",7.4,34.5,33.3,24.8
"618","IL","Alexander County",19.1,37.8,31.8,11.3
"619","IL","Bond County",10.3,36.8,31.1,21.8
"620","IL","Boone County",13.8,35.2,27.7,23.2
"621","IL","Brown County",15.7,36.8,33.7,13.7
"622","IL","Bureau County",8.4,38.4,33.5,19.7
"623","IL","Calhoun County",9.4,43.6,33.4,13.6
"624","IL","Carroll County",8.6,41.5,31.8,18.1
"625","IL","Cass County",16,43.2,26.2,14.6
"626","IL","Champaign County",4.9,21.7,29,44.4
"627","IL","Christian County",11.2,41.9,30.3,16.6
"628","IL","Clark County",9.1,38.8,34.5,17.6
"629","IL","Clay County",10.1,37.2,37.6,15.2
"630","IL","Clinton County",10.1,32.2,35.2,22.5
"631","IL","Coles County",9.5,30,34.9,25.6
"632","IL","Cook County",13.3,23.3,25.4,38
"633","IL","Crawford County",13.1,29.9,40.4,16.6
"634","IL","Cumberland County",10.4,40.1,33.8,15.8
"635","IL","DeKalb County",7.6,25.5,35.5,31.4
"636","IL","De Witt County",8.9,36.9,32.8,21.3
"637","IL","Douglas County",17.7,32.7,30.7,19
"638","IL","DuPage County",7.4,18.3,25.5,48.8
"639","IL","Edgar County",10.8,38.3,34.1,16.7
"640","IL","Edwards County",8.5,35.1,42.5,13.9
"641","IL","Effingham County",7.4,36.4,33.8,22.5
"642","IL","Fayette County",17,39.7,31.6,11.7
"643","IL","Ford County",10,36,33.8,20.2
"644","IL","Franklin County",12.3,32.7,39.1,15.9
"645","IL","Fulton County",11.9,34.6,35.9,17.6
"646","IL","Gallatin County",12,40.7,37.4,9.9
"647","IL","Greene County",12.1,44.4,31.1,12.4
"648","IL","Grundy County",6.9,33,36.5,23.6
"649","IL","Hamilton County",11.5,33.8,36.4,18.3
"650","IL","Hancock County",6.8,38.1,33.8,21.3
"651","IL","Hardin County",18.9,32.9,37,11.2
"652","IL","Henderson County",9.9,43.5,31.2,15.4
"653","IL","Henry County",9.8,33.8,33.7,22.6
"654","IL","Iroquois County",10.8,39.9,33.8,15.4
"655","IL","Jackson County",7.8,23.7,32.5,36
"656","IL","Jasper County",10.7,40.2,31.6,17.5
"657","IL","Jefferson County",14,30.6,38,17.4
"658","IL","Jersey County",8.3,37.5,33.8,20.5
"659","IL","Jo Daviess County",8.2,37.1,30.9,23.8
"660","IL","Johnson County",17.8,31.5,34.2,16.5
"661","IL","Kane County",15.9,22.5,28.4,33.1
"662","IL","Kankakee County",12.1,33.6,33.3,21
"663","IL","Kendall County",7.9,23.4,33.3,35.4
"664","IL","Knox County",11.2,36.2,34.1,18.5
"665","IL","Lake County",9.4,21.1,24.4,45
"666","IL","La Salle County",11.3,35.6,35.1,17.9
"667","IL","Lawrence County",15.3,37,34.2,13.5
"668","IL","Lee County",11.2,34.2,37,17.7
"669","IL","Livingston County",10.7,43.1,30.5,15.7
"670","IL","Logan County",11.1,35,33.6,20.4
"671","IL","McDonough County",6.5,30.6,30.5,32.4
"672","IL","McHenry County",7.2,26.2,33,33.7
"673","IL","McLean County",4.1,25.1,26,44.8
"674","IL","Macon County",9.7,34.4,33.3,22.5
"675","IL","Macoupin County",9,38.6,33.1,19.4
"676","IL","Madison County",7.9,30.7,35.6,25.8
"677","IL","Marion County",11.2,35.2,38.6,15
"678","IL","Marshall County",7.2,41.4,34.6,16.8
"679","IL","Mason County",11.2,44.2,29.3,15.4
"680","IL","Massac County",13.8,34.2,38.8,13.2
"681","IL","Menard County",6.6,36.7,33.6,23.1
"682","IL","Mercer County",8.6,39.3,34.4,17.8
"683","IL","Monroe County",4,29.2,34.3,32.5
"684","IL","Montgomery County",13.4,39.9,31.1,15.6
"685","IL","Morgan County",8.3,40.7,31.1,19.9
"686","IL","Moultrie County",14.7,33.2,32.6,19.5
"687","IL","Ogle County",10.1,33.6,36.2,20
"688","IL","Peoria County",9.6,27,33.1,30.4
"689","IL","Perry County",15.6,38.6,34.1,11.7
"690","IL","Piatt County",6.4,34.1,31.6,27.9
"691","IL","Pike County",11.3,41.2,32.3,15.1
"692","IL","Pope County",14,34.4,38.1,13.4
"693","IL","Pulaski County",14.3,34.2,39.2,12.3
"694","IL","Putnam County",7.7,38.5,39.2,14.6
"695","IL","Randolph County",16.6,39.3,31.4,12.8
"696","IL","Richland County",12.2,29.9,36.7,21.3
"697","IL","Rock Island County",11.1,29.9,35.8,23.2
"698","IL","St. Clair County",9.2,28.6,34.9,27.3
"699","IL","Saline County",13.6,28.5,40.2,17.8
"700","IL","Sangamon County",7.6,27.9,30.3,34.2
"701","IL","Schuyler County",10.2,37.8,33.8,18.2
"702","IL","Scott County",7.4,48.7,29,15
"703","IL","Shelby County",7.8,44.9,30.5,16.9
"704","IL","Stark County",9.1,39.7,33.8,17.5
"705","IL","Stephenson County",7.1,36,37.7,19.3
"706","IL","Tazewell County",7.4,31.9,34.3,26.4
"707","IL","Union County",12.3,33,32,22.8
"708","IL","Vermilion County",11.9,41.1,31.9,15.1
"709","IL","Wabash County",9.5,30.8,42.6,17.2
"710","IL","Warren County",12.3,32.8,32,23
"711","IL","Washington County",7.9,33.6,37.9,20.6
"712","IL","Wayne County",11.6,36.3,37.5,14.6
"713","IL","White County",8.7,38.4,37.8,15.2
"714","IL","Whiteside County",9.7,37.1,34.8,18.5
"715","IL","Will County",9.1,26.7,30.2,34
"716","IL","Williamson County",8.8,30.6,38,22.6
"717","IL","Winnebago County",12.3,32,33.1,22.6
"718","IL","Woodford County",5.5,32.1,30.9,31.6
"719","IN","Indiana",11.4,33.5,29.1,25.9
"720","IN","Adams County",15.9,39.7,29,15.3
"721","IN","Allen County",10.7,28.7,32.4,28.2
"722","IN","Bartholomew County",9.1,32.6,26,32.3
"723","IN","Benton County",10.5,43.2,29.4,16.9
"724","IN","Blackford County",10.6,48.1,27.7,13.6
"725","IN","Boone County",6.4,21.3,23.9,48.3
"726","IN","Brown County",8.8,32.6,31.2,27.4
"727","IN","Carroll County",10.8,40.7,31.2,17.2
"728","IN","Cass County",15.8,38.3,32,13.9
"729","IN","Clark County",10.8,34.2,34.1,20.9
"730","IN","Clay County",8.4,44.4,30.4,16.8
"731","IN","Clinton County",13.8,44.1,25.5,16.6
"732","IN","Crawford County",17.8,46.2,24.5,11.4
"733","IN","Daviess County",26.8,33.8,25.7,13.8
"734","IN","Dearborn County",9.4,40.2,28.8,21.6
"735","IN","Decatur County",9.1,43.8,27.5,19.6
"736","IN","DeKalb County",9.8,41.8,30.7,17.7
"737","IN","Delaware County",10.7,34.6,30.5,24.3
"738","IN","Dubois County",10,39.2,28.6,22.2
"739","IN","Elkhart County",18.8,35.2,26.8,19.2
"740","IN","Fayette County",17.4,43,28,11.6
"741","IN","Floyd County",9.7,30,30.7,29.5
"742","IN","Fountain County",11.3,44.2,29.5,15
"743","IN","Franklin County",11.8,42.8,25.6,19.8
"744","IN","Fulton County",12.6,40.3,32.7,14.4
"745","IN","Gibson County",9.1,39.7,33.8,17.4
"746","IN","Grant County",13,40.6,29.3,17.1
"747","IN","Greene County",12.3,41.7,31.2,14.8
"748","IN","Hamilton County",3.6,15.3,23.3,57.8
"749","IN","Hancock County",6.2,32.8,30.6,30.3
"750","IN","Harrison County",11,40.1,31.6,17.4
"751","IN","Hendricks County",6.6,27.2,29.8,36.3
"752","IN","Henry County",10.4,43.9,29.1,16.6
"753","IN","Howard County",11.1,36.5,31.2,21.2
"754","IN","Huntington County",9,42,30,19
"755","IN","Jackson County",13.4,43.5,27.5,15.5
"756","IN","Jasper County",11.8,42.3,31.1,14.9
"757","IN","Jay County",15.2,47.2,27,10.6
"758","IN","Jefferson County",9.9,42.3,29.9,17.9
"759","IN","Jennings County",14.6,45.9,28.5,11.1
"760","IN","Johnson County",8,31,29.2,31.8
"761","IN","Knox County",11.7,35.8,36,16.4
"762","IN","Kosciusko County",14.5,35.2,27.6,22.7
"763","IN","LaGrange County",36.3,32.4,20.9,10.4
"764","IN","Lake County",11.9,35,31,22.1
"765","IN","LaPorte County",11.7,39.3,31.1,17.9
"766","IN","Lawrence County",11.5,43.4,29.6,15.5
"767","IN","Madison County",11.9,39,31.1,18
"768","IN","Marion County",14.3,28,27.3,30.4
"769","IN","Marshall County",15.2,39,25.3,20.5
"770","IN","Martin County",14.5,43.2,28.9,13.4
"771","IN","Miami County",14.5,42.5,30.3,12.7
"772","IN","Monroe County",7.8,21.9,24.7,45.6
"773","IN","Montgomery County",10.5,41.3,30.1,18.1
"774","IN","Morgan County",12.3,40,30.8,16.9
"775","IN","Newton County",14.5,44.2,30.1,11.2
"776","IN","Noble County",15.9,40.7,29.2,14.3
"777","IN","Ohio County",12.3,45.6,28.3,13.7
"778","IN","Orange County",16.7,45.1,25.9,12.3
"779","IN","Owen County",14.8,42.6,29.9,12.6
"780","IN","Parke County",13.1,43.4,31.2,12.2
"781","IN","Perry County",10.6,47,27.5,14.9
"782","IN","Pike County",12.8,42.6,30.8,13.7
"783","IN","Porter County",6.9,34.5,30.4,28.2
"784","IN","Posey County",6.7,38.4,34.1,20.7
"785","IN","Pulaski County",11.8,47,28.7,12.5
"786","IN","Putnam County",10.8,43.8,29.3,16.1
"787","IN","Randolph County",13.2,42.5,30,14.3
"788","IN","Ripley County",10.6,43.5,27.8,18.1
"789","IN","Rush County",15.4,46,25.6,13
"790","IN","St. Joseph County",11.6,30.7,28.6,29.2
"791","IN","Scott County",16.1,44.2,27.8,11.9
"792","IN","Shelby County",12,42.7,25.9,19.4
"793","IN","Spencer County",9.9,44.9,30.3,14.9
"794","IN","Starke County",15.9,42.1,31.2,10.8
"795","IN","Steuben County",9.9,38.3,31.2,20.6
"796","IN","Sullivan County",11.3,44.7,33.2,10.8
"797","IN","Switzerland County",16.9,48.6,24.6,9.9
"798","IN","Tippecanoe County",8.3,25,29,37.7
"799","IN","Tipton County",11.6,41.1,24.3,23
"800","IN","Union County",11.4,48,23.7,16.9
"801","IN","Vanderburgh County",10.3,32.5,31,26.3
"802","IN","Vermillion County",9.7,44.2,32.8,13.4
"803","IN","Vigo County",11.9,32.2,31.4,24.5
"804","IN","Wabash County",11.7,42.5,27.4,18.4
"805","IN","Warren County",8.5,43.2,29.5,18.9
"806","IN","Warrick County",7,31.4,32,29.6
"807","IN","Washington County",15.4,43.6,27.7,13.2
"808","IN","Wayne County",13.2,38,30.5,18.2
"809","IN","Wells County",8.9,40,33,18.1
"810","IN","White County",11.4,41.4,30.5,16.8
"811","IN","Whitley County",7.3,39.7,32.1,20.9
"812","IA","Iowa",8,31.1,32.6,28.2
"813","IA","Adair County",5.8,43.1,35.7,15.4
"814","IA","Adams County",5.9,39.1,37.3,17.7
"815","IA","Allamakee County",12.3,38.9,30.2,18.5
"816","IA","Appanoose County",9.1,37,36.7,17.1
"817","IA","Audubon County",10.2,40.1,35.2,14.6
"818","IA","Benton County",6.1,36.3,34.9,22.6
"819","IA","Black Hawk County",8.7,30.2,32.5,28.6
"820","IA","Boone County",5.7,32.3,37.2,24.8
"821","IA","Bremer County",3.8,32.3,33.5,30.3
"822","IA","Buchanan County",5.9,38.9,34.6,20.6
"823","IA","Buena Vista County",22.2,29.5,28.7,19.6
"824","IA","Butler County",7.3,37.8,37.4,17.5
"825","IA","Calhoun County",6,36.4,38.1,19.5
"826","IA","Carroll County",6.5,36.3,35,22.2
"827","IA","Cass County",11.8,37.9,30.7,19.6
"828","IA","Cedar County",5.1,35.9,36,23
"829","IA","Cerro Gordo County",6.9,30.8,39.6,22.7
"830","IA","Cherokee County",7.4,35.9,35.2,21.4
"831","IA","Chickasaw County",7.7,43.5,31.8,16.9
"832","IA","Clarke County",10.9,41.4,30.8,16.9
"833","IA","Clay County",6.5,34.1,36.8,22.6
"834","IA","Clayton County",8.8,43.6,30.5,17.2
"835","IA","Clinton County",8.9,37.2,34.8,19.1
"836","IA","Crawford County",22.2,36,29,12.8
"837","IA","Dallas County",4.7,18,28,49.4
"838","IA","Davis County",16.8,33.8,28.9,20.5
"839","IA","Decatur County",11.3,37.6,27.6,23.5
"840","IA","Delaware County",8.7,43.1,31.6,16.6
"841","IA","Des Moines County",8.4,32.8,38.2,20.5
"842","IA","Dickinson County",4.2,28.1,36.4,31.3
"843","IA","Dubuque County",7.6,33,29,30.5
"844","IA","Emmet County",9.5,33.3,37,20.2
"845","IA","Fayette County",7.9,38.9,33.4,19.8
"846","IA","Floyd County",10.7,34,35.3,19.9
"847","IA","Franklin County",9.4,36,36.9,17.7
"848","IA","Fremont County",7.5,35.9,37.3,19.3
"849","IA","Greene County",6.3,39.5,34,20.1
"850","IA","Grundy County",5.8,30.8,35.3,28
"851","IA","Guthrie County",7.2,38.6,34.5,19.8
"852","IA","Hamilton County",6.5,31.4,37.8,24.3
"853","IA","Hancock County",6.6,36.5,33.8,23.1
"854","IA","Hardin County",8.4,34.4,37.5,19.8
"855","IA","Harrison County",8.2,38,35,18.8
"856","IA","Henry County",7.1,37.7,35.2,20.1
"857","IA","Howard County",9.7,40.8,34.6,14.9
"858","IA","Humboldt County",7.8,35.9,35.4,20.8
"859","IA","Ida County",6.5,38.3,36.2,19
"860","IA","Iowa County",6.2,37.7,37,19.1
"861","IA","Jackson County",7.7,41.9,31.6,18.8
"862","IA","Jasper County",6.3,42.4,33.5,17.9
"863","IA","Jefferson County",7.3,27.7,33.4,31.6
"864","IA","Johnson County",4.7,16.2,26.1,53
"865","IA","Jones County",8.3,39.7,33.5,18.4
"866","IA","Keokuk County",7.5,41.2,33.2,18.2
"867","IA","Kossuth County",5.6,37.6,38.5,18.3
"868","IA","Lee County",7.8,41,35.5,15.7
"869","IA","Linn County",5.3,27.1,34.6,33
"870","IA","Louisa County",18.1,36.5,31.2,14.2
"871","IA","Lucas County",7.2,41.6,34.2,17
"872","IA","Lyon County",9.4,36.5,32.7,21.4
"873","IA","Madison County",5.1,35.9,35.1,23.9
"874","IA","Mahaska County",8.8,38.8,30,22.3
"875","IA","Marion County",6.6,35.5,31.5,26.4
"876","IA","Marshall County",16.4,34.1,30.6,19
"877","IA","Mills County",6.6,34.6,35.1,23.7
"878","IA","Mitchell County",10.1,39.9,32.4,17.7
"879","IA","Monona County",7.6,39.7,36,16.7
"880","IA","Monroe County",12,40.7,30.8,16.6
"881","IA","Montgomery County",9.9,37.1,35.5,17.5
"882","IA","Muscatine County",12.4,34.7,30.9,22
"883","IA","O'Brien County",7.7,38,34.5,19.9
"884","IA","Osceola County",10.9,38.5,32.4,18.1
"885","IA","Page County",9.1,34.6,34.9,21.3
"886","IA","Palo Alto County",6.5,29,39.5,25
"887","IA","Plymouth County",7,33.8,38.1,21
"888","IA","Pocahontas County",8.6,38.6,38.1,14.7
"889","IA","Polk County",8.5,24.8,30.6,36.1
"890","IA","Pottawattamie County",10.5,33.1,35.2,21.2
"891","IA","Poweshiek County",7,37.5,30.4,25.1
"892","IA","Ringgold County",7.7,38.9,32.8,20.6
"893","IA","Sac County",7.4,37.2,34.8,20.6
"894","IA","Scott County",7.1,29.9,31.2,31.9
"895","IA","Shelby County",8.1,36.1,35.1,20.8
"896","IA","Sioux County",9.2,31.4,31.4,28.1
"897","IA","Story County",2.9,17.9,28,51.1
"898","IA","Tama County",9.1,40,34.8,16.1
"899","IA","Taylor County",9.8,39.2,36.1,14.9
"900","IA","Union County",9.8,36.3,36.8,17.2
"901","IA","Van Buren County",10.1,40.8,35,14.1
"902","IA","Wapello County",12.1,35.7,34.3,18
"903","IA","Warren County",4.3,30.4,33.6,31.7
"904","IA","Washington County",8.9,39.3,30.3,21.5
"905","IA","Wayne County",11.1,44.7,31.2,13
"906","IA","Webster County",9.2,34.1,37.1,19.6
"907","IA","Winnebago County",8.2,33.3,36.1,22.4
"908","IA","Winneshiek County",5.3,32.7,32.2,29.7
"909","IA","Woodbury County",13.3,32.2,31.5,23
"910","IA","Worth County",7.2,37.2,40,15.5
"911","IA","Wright County",8.2,35.9,38.3,17.7
"912","KS","Kansas",9.3,26,31.8,32.9
"913","KS","Allen County",8.1,34,37.5,20.4
"914","KS","Anderson County",8.7,41.5,32.3,17.5
"915","KS","Atchison County",7.6,37.6,32.9,21.9
"916","KS","Barber County",8.5,34.9,38.3,18.3
"917","KS","Barton County",11.4,32.4,37.8,18.4
"918","KS","Bourbon County",8.8,30.8,39.7,20.6
"919","KS","Brown County",7.4,36,34.8,21.8
"920","KS","Butler County",7.5,26.5,37,29
"921","KS","Chase County",10.1,27.6,40.6,21.6
"922","KS","Chautauqua County",12.7,35.6,35,16.8
"923","KS","Cherokee County",11,33.5,36.4,19.1
"924","KS","Cheyenne County",6.5,30.2,37,26.3
"925","KS","Clark County",6.4,27.5,34.5,31.5
"926","KS","Clay County",7,29.8,36,27.2
"927","KS","Cloud County",8.6,30.5,38.4,22.5
"928","KS","Coffey County",6.7,33.4,37,22.9
"929","KS","Comanche County",7.2,32.8,41.4,18.6
"930","KS","Cowley County",10.1,30.7,39,20.1
"931","KS","Crawford County",9.1,28.2,33.2,29.5
"932","KS","Decatur County",8.7,32.5,35.3,23.5
"933","KS","Dickinson County",9.4,33.5,35,22.1
"934","KS","Doniphan County",10,36,34.7,19.3
"935","KS","Douglas County",4.5,18,27.1,50.4
"936","KS","Edwards County",15.7,27.3,39.1,17.9
"937","KS","Elk County",13.2,40.4,31.4,15
"938","KS","Ellis County",7.3,26.5,31.4,34.8
"939","KS","Ellsworth County",8.8,34,36.9,20.4
"940","KS","Finney County",29.1,21.7,32.2,17.1
"941","KS","Ford County",28.5,24.9,29,17.6
"942","KS","Franklin County",7.4,38.9,34.2,19.5
"943","KS","Geary County",6,26.1,46.1,21.9
"944","KS","Gove County",8.7,33.8,34.8,22.7
"945","KS","Graham County",8.8,35,29.9,26.2
"946","KS","Grant County",26.5,27.9,30.2,15.4
"947","KS","Gray County",22.9,22.3,33.8,21
"948","KS","Greeley County",12.8,29,29.2,29
"949","KS","Greenwood County",8.4,34.6,37.4,19.6
"950","KS","Hamilton County",22.4,35.1,24.3,18.2
"951","KS","Harper County",9.6,40,33.3,17.1
"952","KS","Harvey County",9,26.3,33.6,31
"953","KS","Haskell County",30.9,18.7,34.2,16.3
"954","KS","Hodgeman County",9.4,20.7,41.5,28.4
"955","KS","Jackson County",5.5,39.1,34,21.3
"956","KS","Jefferson County",6.5,40.4,31.2,21.9
"957","KS","Jewell County",6,42.4,34.7,16.9
"958","KS","Johnson County",4.1,14.4,26.2,55.3
"959","KS","Kearny County",25.9,26.6,31.6,15.9
"960","KS","Kingman County",6,31.8,38.1,24.2
"961","KS","Kiowa County",10.3,27.9,33.8,27.9
"962","KS","Labette County",12,32.6,37.6,17.8
"963","KS","Lane County",4.5,32.8,41.2,21.6
"964","KS","Leavenworth County",8.1,28.7,31.6,31.7
"965","KS","Lincoln County",6.3,31.8,39.3,22.6
"966","KS","Linn County",11,38.5,34.5,16
"967","KS","Logan County",8.3,29.4,44.7,17.6
"968","KS","Lyon County",11.6,30.9,30.1,27.3
"969","KS","McPherson County",8.7,27.3,35,29
"970","KS","Marion County",9.1,30.9,34.9,25.1
"971","KS","Marshall County",7.3,43.2,30.8,18.6
"972","KS","Meade County",17.5,29,33.3,20.1
"973","KS","Miami County",4.3,32.2,35.9,27.7
"974","KS","Mitchell County",4.3,32.7,37.8,25.3
"975","KS","Montgomery County",11.3,29.1,41.4,18.2
"976","KS","Morris County",10,37,32.8,20.1
"977","KS","Morton County",14.1,30.8,38,17.1
"978","KS","Nemaha County",6.6,38.8,30.1,24.5
"979","KS","Neosho County",8.5,31.4,39.5,20.6
"980","KS","Ness County",9.1,33.7,38.3,18.9
"981","KS","Norton County",10.6,36.6,36.9,15.9
"982","KS","Osage County",8.8,39.2,33.4,18.6
"983","KS","Osborne County",7.4,34.6,35,23
"984","KS","Ottawa County",5.8,36.5,34.2,23.5
"985","KS","Pawnee County",12.3,29.6,39.3,18.8
"986","KS","Phillips County",7.4,36.2,34.2,22.3
"987","KS","Pottawatomie County",5.3,29.2,31.1,34.5
"988","KS","Pratt County",7.8,24.8,39.2,28.1
"989","KS","Rawlins County",5.2,30.4,39.3,25.1
"990","KS","Reno County",12.1,27.9,39.4,20.5
"991","KS","Republic County",4.8,32.4,38.2,24.5
"992","KS","Rice County",9.1,28.7,39,23.2
"993","KS","Riley County",4.2,18.5,31.2,46
"994","KS","Rooks County",10,31.3,34.8,24
"995","KS","Rush County",11.1,26.8,38.9,23.1
"996","KS","Russell County",10.3,27.3,36.4,25.9
"997","KS","Saline County",9.2,31,33.5,26.2
"998","KS","Scott County",15.8,28.9,30.4,24.9
"999","KS","Sedgwick County",10.7,26.2,32.2,30.9
"1000","KS","Seward County",31.8,30.6,26.4,11.1
"1001","KS","Shawnee County",8,31.3,29.9,30.8
"1002","KS","Sheridan County",5.4,33.2,40,21.4
"1003","KS","Sherman County",7.3,31.9,41.7,19.1
"1004","KS","Smith County",6.7,36.6,37.6,19.1
"1005","KS","Stafford County",9.6,30.3,36.3,23.9
"1006","KS","Stanton County",18.2,30.2,32.4,19.3
"1007","KS","Stevens County",20,28.6,39.2,12.2
"1008","KS","Sumner County",7.7,34.1,35.9,22.2
"1009","KS","Thomas County",4.9,25.5,44.2,25.5
"1010","KS","Trego County",6.7,30.6,40,22.8
"1011","KS","Wabaunsee County",4.8,34.6,37.3,23.3
"1012","KS","Wallace County",6.6,27.1,35.3,30.9
"1013","KS","Washington County",9.3,37.6,32.8,20.3
"1014","KS","Wichita County",14,29.2,35.7,21.1
"1015","KS","Wilson County",12.7,35.2,37.7,14.4
"1016","KS","Woodson County",11.8,36.5,38.3,13.5
"1017","KS","Wyandotte County",20.9,32.6,29.1,17.4
"1018","KY","Kentucky",14.3,33,29.1,23.6
"1019","KY","Adair County",21.5,38.7,23.5,16.3
"1020","KY","Allen County",19,39.5,26.9,14.6
"1021","KY","Anderson County",11.3,36.8,31.7,20.3
"1022","KY","Ballard County",14.8,37.7,34.2,13.3
"1023","KY","Barren County",17.1,41.6,25.2,16
"1024","KY","Bath County",22.9,42.1,22.7,12.4
"1025","KY","Bell County",30.5,38.6,22,8.9
"1026","KY","Boone County",7.2,27.9,33.3,31.6
"1027","KY","Bourbon County",15,37.3,28.9,18.9
"1028","KY","Boyd County",11.5,32.5,35.8,20.2
"1029","KY","Boyle County",12.8,34.7,29.1,23.4
"1030","KY","Bracken County",15.1,44,27.1,13.7
"1031","KY","Breathitt County",26.1,36.4,23.2,14.3
"1032","KY","Breckinridge County",17.8,44.6,26.6,11.1
"1033","KY","Bullitt County",12,41.6,32.2,14.2
"1034","KY","Butler County",21.9,42.7,22.8,12.6
"1035","KY","Caldwell County",12.1,46,26.6,15.3
"1036","KY","Calloway County",10.9,32.4,27.6,29
"1037","KY","Campbell County",9.2,29.9,27.3,33.5
"1038","KY","Carlisle County",18.6,36.5,30.1,14.8
"1039","KY","Carroll County",22.2,42,26.9,8.8
"1040","KY","Carter County",21.9,40.1,24.4,13.7
"1041","KY","Casey County",25,38.4,23.3,13.3
"1042","KY","Christian County",14,32.1,36.5,17.3
"1043","KY","Clark County",14.6,34.8,30.6,20.1
"1044","KY","Clay County",35.7,34.2,20.6,9.5
"1045","KY","Clinton County",26.9,38.8,24.1,10.1
"1046","KY","Crittenden County",17,42.2,27.7,13.1
"1047","KY","Cumberland County",18.9,41.6,26.4,13.1
"1048","KY","Daviess County",10,34.7,32.4,22.9
"1049","KY","Edmonson County",21,42,26.3,10.8
"1050","KY","Elliott County",22,43.7,26,8.3
"1051","KY","Estill County",25.3,45.5,19.3,9.9
"1052","KY","Fayette County",9.1,20,27.9,42.9
"1053","KY","Fleming County",21.5,38.3,27.6,12.7
"1054","KY","Floyd County",26.2,35.8,26.7,11.2
"1055","KY","Franklin County",11,30.6,28.7,29.8
"1056","KY","Fulton County",21.8,38.9,26.1,13.3
"1057","KY","Gallatin County",18.9,46.4,23,11.6
"1058","KY","Garrard County",20.1,36.7,26.5,16.8
"1059","KY","Grant County",13.5,48.7,24.2,13.6
"1060","KY","Graves County",14.7,39.4,29.7,16.3
"1061","KY","Grayson County",19.9,41.7,28,10.4
"1062","KY","Green County",24.2,40.2,23.6,12
"1063","KY","Greenup County",11.6,36.8,34.3,17.2
"1064","KY","Hancock County",15.1,42.8,31.2,11
"1065","KY","Hardin County",9.5,30.3,37.1,23
"1066","KY","Harlan County",28.4,34.7,26.1,10.8
"1067","KY","Harrison County",16.6,40.3,28.3,14.8
"1068","KY","Hart County",24.4,40.4,23.4,11.8
"1069","KY","Henderson County",13.2,35.6,33.3,17.9
"1070","KY","Henry County",15.8,42.1,30,12.2
"1071","KY","Hickman County",21.7,39.4,21.4,17.6
"1072","KY","Hopkins County",13.5,41.5,29,16
"1073","KY","Jackson County",25.7,42.6,19.6,12.2
"1074","KY","Jefferson County",10,26.8,30.4,32.7
"1075","KY","Jessamine County",13.3,30.3,26.9,29.5
"1076","KY","Johnson County",19.5,34.8,30.7,14.9
"1077","KY","Kenton County",10.3,28.7,30.6,30.4
"1078","KY","Knott County",26.9,32.4,27.8,12.9
"1079","KY","Knox County",27.7,37.9,21.3,13.1
"1080","KY","Larue County",17.6,40.2,32.2,10.1
"1081","KY","Laurel County",18.9,40.6,27.1,13.4
"1082","KY","Lawrence County",24.9,42.9,22.2,10
"1083","KY","Lee County",29.6,37.2,22.9,10.3
"1084","KY","Leslie County",29.8,38.6,21.9,9.7
"1085","KY","Letcher County",24.8,37.5,26.1,11.7
"1086","KY","Lewis County",26.3,40.2,22.5,11
"1087","KY","Lincoln County",21.8,43.8,23.4,11.1
"1088","KY","Livingston County",16.4,44.5,27.7,11.4
"1089","KY","Logan County",15.7,43.7,25.5,15
"1090","KY","Lyon County",12.1,41.2,30.8,15.9
"1091","KY","McCracken County",10.2,30.1,35.1,24.6
"1092","KY","McCreary County",25.4,42.7,24.9,6.9
"1093","KY","McLean County",12.8,41.3,33.9,12
"1094","KY","Madison County",13,27.8,28.7,30.5
"1095","KY","Magoffin County",30.9,32.7,26.8,9.7
"1096","KY","Marion County",19.6,42.7,24.6,13.2
"1097","KY","Marshall County",12.2,37.7,31.3,18.8
"1098","KY","Martin County",27.2,39.3,25.1,8.5
"1099","KY","Mason County",14.4,37.7,29.1,18.9
"1100","KY","Meade County",11.8,34.3,35.7,18.2
"1101","KY","Menifee County",23.7,43.8,21.2,11.3
"1102","KY","Mercer County",14.8,38.4,29.2,17.5
"1103","KY","Metcalfe County",23.1,37,26.8,13.1
"1104","KY","Monroe County",25.5,40.2,21.4,12.9
"1105","KY","Montgomery County",15.4,40.8,27.5,16.3
"1106","KY","Morgan County",26.6,37.1,22.7,13.6
"1107","KY","Muhlenberg County",19.4,43.2,26.2,11.1
"1108","KY","Nelson County",10.8,38.7,33.3,17.2
"1109","KY","Nicholas County",22.6,42.5,24.7,10.2
"1110","KY","Ohio County",17.9,42.8,26,13.3
"1111","KY","Oldham County",6.1,21.3,30.4,42.2
"1112","KY","Owen County",17.4,50,22.7,9.9
"1113","KY","Owsley County",30.9,37,16,16.2
"1114","KY","Pendleton County",17.2,43.5,28,11.3
"1115","KY","Perry County",23.2,34.8,29.6,12.3
"1116","KY","Pike County",23.9,38.5,24.6,13
"1117","KY","Powell County",19.5,42,23.8,14.7
"1118","KY","Pulaski County",18.1,37.6,28.9,15.3
"1119","KY","Robertson County",22,33.8,28.2,16
"1120","KY","Rockcastle County",22.4,43.6,23.4,10.6
"1121","KY","Rowan County",16.4,29.5,27.4,26.6
"1122","KY","Russell County",24.5,36.3,26.4,12.9
"1123","KY","Scott County",9.6,30.5,31.4,28.6
