"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"1780","NE","Wayne County",4.2,25.4,35.9,34.5
"1781","NE","Webster County",7.8,34.9,34.7,22.6
"1782","NE","Wheeler County",4.8,34.3,43.6,17.3
"1783","NE","York County",6.3,29.5,36.1,28.1
"1784","NV","Nevada",13.7,28.1,33.9,24.2
"1785","NV","Churchill County",9.1,32.4,41.1,17.5
"1786","NV","Clark County",14.3,28.6,33.2,23.9
"1787","NV","Douglas County",6.3,24.1,40.8,28.9
"1788","NV","Elko County",14.8,29.6,37.4,18.2
"1789","NV","Esmeralda County",12.2,42.3,29,16.5
"1790","NV","Eureka County",6.8,39,42.5,11.7
"1791","NV","Humboldt County",16.4,34.3,33,16.3
"1792","NV","Lander County",15.1,38.7,34.7,11.6
"1793","NV","Lincoln County",14.4,32.7,35.1,17.7
"1794","NV","Lyon County",12.9,32.5,40.6,14
"1795","NV","Mineral County",12.9,36.7,36,14.4
"1796","NV","Nye County",14.2,36.9,37.4,11.5
"1797","NV","Pershing County",18.3,33.7,33.2,14.8
"1798","NV","Storey County",5.2,30,36.2,28.7
"1799","NV","Washoe County",11.7,23.9,33.9,30.5
"1800","NV","White Pine County",14.1,37.9,33.1,14.9
"1801","NV","Carson City",12.7,27.5,37.5,22.3
"1802","NH","New Hampshire",7.1,27.6,28.8,36.5
"1803","NH","Belknap County",7.4,28.5,31.6,32.4
"1804","NH","Carroll County",6.2,29.9,30.3,33.6
"1805","NH","Cheshire County",7,31.3,29.1,32.6
"1806","NH","Coos County",11.4,40.1,30.5,18.1
"1807","NH","Grafton County",7.2,27,25.3,40.5
"1808","NH","Hillsborough County",8.2,26.3,28.2,37.3
"1809","NH","Merrimack County",6.3,27.8,30.3,35.6
"1810","NH","Rockingham County",5.2,25.1,29,40.7
"1811","NH","Strafford County",7.5,28,28.9,35.6
"1812","NH","Sullivan County",8.9,37.2,27,26.8
"1813","NJ","New Jersey",10.5,27.5,23.2,38.9
"1814","NJ","Atlantic County",13.1,32.1,27.4,27.4
"1815","NJ","Bergen County",7.8,23.5,20.5,48.3
"1816","NJ","Burlington County",6.4,28.3,27.8,37.5
"1817","NJ","Camden County",11.6,30.1,26.6,31.8
"1818","NJ","Cape May County",8.8,32.6,27.2,31.5
"1819","NJ","Cumberland County",22.1,38.5,24.7,14.7
"1820","NJ","Essex County",14.3,28.1,22.8,34.8
"1821","NJ","Gloucester County",7.1,33,28,31.9
"1822","NJ","Hudson County",15.8,25.7,17.6,40.9
"1823","NJ","Hunterdon County",4.9,21.2,21.9,52
"1824","NJ","Mercer County",12,24.5,21.6,42
"1825","NJ","Middlesex County",10.2,25.7,21.4,42.7
"1826","NJ","Monmouth County",6.8,24,24.2,44.9
"1827","NJ","Morris County",5.7,20.2,20.6,53.6
"1828","NJ","Ocean County",8.2,33.9,28.7,29.2
"1829","NJ","Passaic County",16.6,34.1,21.2,28.1
"1830","NJ","Salem County",12.3,37.7,29,20.9
"1831","NJ","Somerset County",5.3,20,20.2,54.5
"1832","NJ","Sussex County",5.2,31.4,28.5,34.9
"1833","NJ","Union County",13.8,28.7,22.4,35.1
"1834","NJ","Warren County",8.8,31.5,27.8,31.8
"1835","NM","New Mexico",14.7,26.4,31.7,27.1
"1836","NM","Bernalillo County",11.2,23.2,31.6,33.9
"1837","NM","Catron County",6.1,42.9,28.8,22.2
"1838","NM","Chaves County",22,27.8,32.5,17.8
"1839","NM","Cibola County",17.4,31.8,37.4,13.4
"1840","NM","Colfax County",10.8,32.8,35.9,20.5
"1841","NM","Curry County",17,27.5,35.7,19.8
"1842","NM","De Baca County",13.7,39.7,36.8,9.8
"1843","NM","Dona Ana County",20.6,22.6,29.3,27.5
"1844","NM","Eddy County",15.5,36.9,31.7,15.9
"1845","NM","Grant County",12.9,25.5,34.3,27.3
"1846","NM","Guadalupe County",20.1,42,26.2,11.6
"1847","NM","Harding County",12,32.9,30.8,24.3
"1848","NM","Hidalgo County",20.8,33.7,31.3,14.2
"1849","NM","Lea County",27.1,32.4,27.5,13
"1850","NM","Lincoln County",8.5,29.1,33.1,29.3
"1851","NM","Los Alamos County",2.2,9.9,21.5,66.5
"1852","NM","Luna County",31.4,32.1,24.3,12.2
"1853","NM","McKinley County",24.6,33.7,30.1,11.6
"1854","NM","Mora County",8.4,34.9,45.5,11.2
"1855","NM","Otero County",16.5,27.2,37.3,19
"1856","NM","Quay County",17.2,39.9,27.1,15.8
"1857","NM","Rio Arriba County",13.8,31.3,36.5,18.5
"1858","NM","Roosevelt County",19.1,29.7,26.1,25.1
"1859","NM","Sandoval County",10.3,25,34.7,30
"1860","NM","San Juan County",15.8,30.7,38.3,15.2
"1861","NM","San Miguel County",18.8,26.3,32.2,22.7
"1862","NM","Santa Fe County",11.1,22.9,25.1,40.9
"1863","NM","Sierra County",15.3,28.4,35.8,20.5
"1864","NM","Socorro County",20.9,36.4,21.5,21.2
"1865","NM","Taos County",10.9,26.3,34.8,28
"1866","NM","Torrance County",14.2,36.6,33.6,15.6
"1867","NM","Union County",20,42.1,25.2,12.7
"1868","NM","Valencia County",17,32.8,33.2,17.1
"1869","NY","New York",13.5,26.1,24.4,35.9
"1870","NY","Albany County",7.3,24.1,27.3,41.3
"1871","NY","Allegany County",10,36.7,33.1,20.2
"1872","NY","Bronx County",28,27.6,24.5,19.8
"1873","NY","Broome County",9.5,31.1,31.1,28.3
"1874","NY","Cattaraugus County",11.5,39.4,30,19.1
"1875","NY","Cayuga County",12.3,33,32.4,22.3
"1876","NY","Chautauqua County",11.1,35.9,31.3,21.7
"1877","NY","Chemung County",9.7,36,30.5,23.9
"1878","NY","Chenango County",11.8,39,30.8,18.3
"1879","NY","Clinton County",12.1,37.3,27.7,22.9
"1880","NY","Columbia County",9.6,30.5,28.6,31.3
"1881","NY","Cortland County",9.3,32.7,31.2,26.9
"1882","NY","Delaware County",11.8,37.7,28.6,21.9
